n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,72.0,90.6216825713,90.3570518116,90.4056732544,89.9641646812,90.8886681496
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,72.0,90.1970708944,90.015057275,90.0787951883,90.3224884728,90.3812332925
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,74.0,91.5507434415,91.8835147709,92.0445232174,92.251771121,91.9502189601
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,74.0,91.455603531,91.5951601371,91.6683175567,91.4199996158,91.5644812473
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,74.0,91.5181950098,91.5414908594,91.6378436239,91.6355536945,90.8540973883
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,74.0,91.062747343,91.5173045691,90.640614742,91.5691507752,91.4945999184
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,74.0,90.903987655,90.9648537037,91.4749489258,90.9807516445,90.8741079544
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,74.0,91.0749725815,90.7688314012,90.9643959672,90.9153805504,91.2647309338
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,74.0,91.1182359936,91.1255434849,91.1921500722,90.5541041481,91.0450148482
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,74.0,91.0126708719,91.018575787,90.4184703514,90.7626257925,90.502963713
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,74.0,90.3386565929,90.3730982822,90.3502288178,90.3789102209,90.2957319453
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,74.0,90.6298425007,89.9834458832,90.8828975764,90.1193132763,89.9956715979
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,74.0,90.0629141999,89.9218300029,90.2380443948,90.3951916452,89.7545103662
