n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,70.0,80.3984177773,81.8117382112,80.7296682109,81.3157984111,80.6227159313
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,70.0,80.3594548936,81.1364550039,80.2922572624,81.1038931423,79.4990647635
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,70.0,80.4883674841,80.2459395634,79.8859156099,79.7589876686,80.0094079579
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,70.0,79.4917457393,78.4368030121,80.3639624926,78.364353417,79.6180918106
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,72.0,84.9101482459,84.9804688306,84.8095207517,85.034192266,84.0360854161
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,72.0,84.5882304041,84.6312275654,85.0058924318,84.4230022128,85.3856604776
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,72.0,84.2221784455,83.7172461802,83.6877372428,83.5272648348,84.2338888094
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,72.0,83.3027991705,83.8007658419,83.703391589,84.2467831147,84.5823346654
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,72.0,83.6046630667,84.0824840067,83.6446666896,82.8949051901,83.427702351
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,74.0,87.9386790367,87.4157449817,88.1721860413,88.0606130661,88.0097775064
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,74.0,87.9893406658,87.6660606749,87.6639765767,87.5820838733,88.2388737651
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,74.0,87.7890986887,86.8805849494,87.560644837,87.2648965921,88.4143219374
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,74.0,87.8206476331,87.7210060119,86.6068925155,87.6331069301,87.5116484438
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,74.0,87.1301055566,86.7802199082,86.6933586883,86.3747818882,87.1198941962
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,76.0,89.9895171881,90.7061877898,89.9781445441,90.5896291753,90.8852120499
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,76.0,90.7916312062,90.4832466425,89.9289553049,90.6857729379,90.1374760651
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,76.0,90.3089759265,90.3441210826,90.532852193,90.0713113509,90.4246527881
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,76.0,90.0731434362,89.7489048956,90.024715222,90.0806246342,89.1680759908
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,76.0,90.0850347365,89.9063191013,90.1720501639,90.3005410111,89.7412278638
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,78.0,92.290201676,92.4183764067,92.5171543009,92.2462937538,92.4640280395
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,78.0,93.0613383672,92.6299120064,92.4505847995,92.3703574331,92.4227146914
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,78.0,92.1092683963,92.0486834481,91.7684356659,91.8005293375,92.1362021543
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,78.0,91.4600361383,92.1837684137,91.6908853572,92.0369216098,92.4165048142
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,78.0,92.0842254946,91.9071280978,91.560652295,91.9175280283,91.4326236234
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,80.0,93.8425142535,94.3557960285,94.4821665126,94.0504217739,94.1524106126
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,80.0,94.0282762148,94.0635924303,94.2157091453,93.6566563692,94.2708027762
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,80.0,93.8644396305,93.7064055412,94.1141660108,94.0703007108,93.6383497856
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,80.0,94.0091338953,93.4717305935,93.3960455862,93.2654712049,93.7057523384
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,80.0,93.5084577051,93.8048035649,93.2635043535,93.3550744421,93.4503575103
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,70.0,95.5143234247,95.2970576364,95.4425801035,95.5688576552,95.3456624176
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,70.0,95.2198820067,95.4264170659,95.5566398072,95.2714745615,95.2690440232
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,70.0,95.1277969621,95.2472109631,94.865249863,95.2976432719,95.0937583772
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,70.0,95.0343296414,95.0844042916,95.4751603511,95.3507165479,95.3817412903
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,70.0,95.3346417479,95.1538102262,94.7015627454,94.8081714664,94.9568213272
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,72.0,96.6931933412,96.7000129684,96.4655870631,96.5785219459,96.5769107868
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,72.0,96.5637243405,96.5718399324,96.4719920936,96.6500196938,96.3665047167
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,72.0,96.6414085159,96.3315415037,96.5071693142,96.3653073094,96.2407606405
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,72.0,96.1947481878,96.4146254647,96.3756775751,96.3395510034,96.1902925653
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,72.0,96.1917199293,96.0365031005,96.3704021324,96.6153173078,96.1183009242
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,74.0,97.1860234483,97.3884756524,97.3233895173,97.3947512448,97.3175446957
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,74.0,97.4128066959,97.5425467529,97.489592265,97.5222321213,97.3098108917
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,74.0,97.2258364235,97.3619383986,97.3388656297,97.2745703164,97.2631047084
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,74.0,97.2986291736,97.3642726106,97.2952233529,97.2119291414,97.2011561267
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,74.0,97.2695363034,97.3035107958,97.1360526327,97.0955304856,97.1590006912
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,76.0,98.0896307739,98.0256395806,97.9474771269,98.0508468775,98.0785805388
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,76.0,98.1464524387,97.9957376056,98.0633349887,98.0858613356,98.1286087574
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,76.0,97.9361538883,97.9229203323,97.9827750144,97.877757166,97.9994986048
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,76.0,97.913349961,97.9844251374,98.0465905424,97.9643606543,97.8518388627
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,76.0,97.8099798198,97.7965156918,97.8891698814,97.690979782,97.9065112845
80.0,5.0,4.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,78.0,98.645726738,98.5503642524,98.56419513,98.4368513019,98.576308898
