n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,72.0,82.2068456917,82.1279753693,82.6542427581,82.7977761758,81.8670448332,82.3116594782,81.6253819071,82.1538997522,82.1292434396,82.0332164837
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,72.0,81.6532438492,81.412499919,80.8220369734,81.6408253334,80.9405690781,81.5293356851,81.3756415411,81.8640781686,81.6518202063,81.4694201799
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,72.0,80.9291604612,81.1804484753,80.5328170724,81.0140304821,81.3385362414,80.4778570834,81.0647796126,81.139984169,81.310783337,81.4424982311
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,72.0,80.9197790349,81.0053547502,81.1519341685,81.0804215929,80.8762933169,80.4409986556,80.9347059124,80.0283814045,80.3712189285,80.3063209082
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,72.0,79.7740563138,79.8737656927,80.0488226938,79.6862085671,79.8087238268,79.9630557767,80.0451969333,79.4477260033,80.2584527759,79.689038721
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,72.0,78.7731978261,79.2704397777,79.9148278083,79.381462869,78.9683292707,79.2431396154,79.91917058,79.1885296494,80.3911797906,79.5907940673
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,74.0,85.0064836505,84.8507218774,85.0640400141,84.8907382387,85.2679391148,85.5954781628,85.4685694153,85.2101233281,84.8021507536,84.7567945763
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,74.0,84.6621208702,85.1780325626,84.463717781,84.3109568944,84.7923168458,84.9299114519,84.9308266681,84.8526258398,84.805954295,84.3258006461
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,74.0,83.8947764775,84.6147296527,84.4662540538,84.2003440233,84.1706135891,84.0474962898,83.8628617174,84.0723805186,84.2264965432,84.2937234321
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,74.0,83.3716631572,83.7553143634,83.7317704928,83.2708404618,83.5572474281,84.2116131123,83.0202230727,84.0451485575,83.8293961493,83.612574381
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,74.0,83.2514427212,83.4093757376,83.8597959042,83.2949394806,82.6392664706,83.4127527042,83.2511710516,83.5792504552,83.5138912432,83.1781445101
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,74.0,83.1640642302,82.681253098,82.6356302072,83.4391416843,82.2992974654,82.553343258,82.3713156528,82.7953132957,82.5081398926,82.4880741753
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,74.0,82.5804512771,82.3697187996,82.4008625493,82.3559236489,82.4671908722,82.3176267823,82.5294750979,82.4453321044,81.9548900612,82.5429736115
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,76.0,87.3468622965,87.0833723726,87.6410612912,87.5606555345,87.6035654251,87.270180326,87.798654112,87.3192438428,87.0639798729,87.3107188173
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,76.0,87.1720667693,87.1925226919,86.9431027189,86.4251172917,86.7374492902,87.03011387,86.8348706608,86.5356023054,86.8374222424,86.9966544893
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,76.0,86.5089283867,86.50865049,86.5763418392,86.5203531687,86.3605259387,86.4562675697,86.1878987564,86.3895699193,86.3214289141,87.229719696
